"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","88,362.03","88,362.03","88,362.03","88,362.03","","0.13%"
"01/03/2023","88,249.62","88,249.62","88,249.62","88,249.62","","-0.03%"
"28/02/2023","88,276.24","88,276.24","88,276.24","88,276.24","","0.49%"
"27/02/2023","87,844.02","87,844.02","87,844.02","87,844.02","","-1.02%"
"24/02/2023","88,749.27","88,749.27","88,749.27","88,749.27","","0.32%"
"23/02/2023","88,468.34","88,468.34","88,468.34","88,468.34","","-0.37%"
"22/02/2023","88,798.41","88,798.41","88,798.41","88,798.41","","-0.13%"
"21/02/2023","88,914.45","88,914.45","88,914.45","88,914.45","","-0.18%"
"20/02/2023","89,076.80","89,076.80","89,076.80","89,076.80","","0.12%"
"17/02/2023","88,967.82","88,967.82","88,967.82","88,967.82","","-0.86%"
"16/02/2023","89,735.98","89,735.98","89,735.98","89,735.98","","0.82%"
"15/02/2023","89,009.02","89,009.02","89,009.02","89,009.02","","-1.06%"
"14/02/2023","89,961.17","89,961.17","89,961.17","89,961.17","","0.20%"
"13/02/2023","89,785.50","89,785.50","89,785.50","89,785.50","","-0.21%"
"10/02/2023","89,978.05","89,978.05","89,978.05","89,978.05","","-0.76%"
"09/02/2023","90,664.01","90,664.01","90,664.01","90,664.01","","-0.52%"
"08/02/2023","91,138.46","91,138.46","91,138.46","91,138.46","","0.35%"
"07/02/2023","90,823.63","90,823.63","90,823.63","90,823.63","","-0.46%"
"06/02/2023","91,245.30","91,245.30","91,245.30","91,245.30","","-0.25%"
"03/02/2023","91,476.82","91,476.82","91,476.82","91,476.82","","0.62%"
"02/02/2023","90,914.52","90,914.52","90,914.52","90,914.52","","0.13%"
"01/02/2023","90,793.65","90,793.65","90,793.65","90,793.65","","0.33%"
"31/01/2023","90,491.06","90,491.06","90,491.06","90,491.06","","-0.07%"
"30/01/2023","90,551.48","90,551.48","90,551.48","90,551.48","","-0.16%"
"27/01/2023","90,698.89","90,698.89","90,698.89","90,698.89","","0.34%"
"25/01/2023","90,389.84","90,389.84","90,389.84","90,389.84","","-0.30%"
"24/01/2023","90,657.30","90,657.30","90,657.30","90,657.30","","0.44%"
"23/01/2023","90,256.32","90,256.32","90,256.32","90,256.32","","0.07%"
"20/01/2023","90,194.46","90,194.46","90,194.46","90,194.46","","0.23%"
"19/01/2023","89,990.56","89,990.56","89,990.56","89,990.56","","0.57%"
"18/01/2023","89,482.80","89,482.80","89,482.80","89,482.80","","0.10%"
"17/01/2023","89,397.31","89,397.31","89,397.31","89,397.31","","-0.03%"
