Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^AXJT,^AXJT,^AXJT,^AXJT,^AXJT,^AXJT
Date,,,,,,
2025-10-23,121427.6015625,121427.6015625,121567.703125,120802.1015625,121390.8984375,0
2025-10-24,121242.1015625,121242.1015625,121717.8984375,121125.3984375,121427.6015625,0
2025-10-27,121735.3984375,121735.3984375,122108.296875,121242.1015625,121242.1015625,0
2025-10-28,121155.5,121155.5,121735.3984375,121078.1015625,121735.3984375,0
2025-10-29,120000.6015625,120000.6015625,121284.203125,119941.3984375,121161.296875,0
2025-10-30,119454.0,119454.0,120000.6015625,119326.8984375,120000.6015625,0
2025-10-31,119405.0,119405.0,120232.703125,119405.0,119454.0,0
2025-11-03,119579.296875,119579.296875,119579.296875,118699.5,119405.296875,0
2025-11-04,118489.1015625,118489.1015625,119579.296875,118330.5,119579.296875,0
2025-11-05,118331.1015625,118331.1015625,118641.8984375,117414.3984375,118489.1015625,0
2025-11-06,118818.0,118818.0,118818.0,118485.0,118801.796875,0
2025-11-07,118013.0,118013.0,118897.3984375,117834.796875,118801.796875,0
2025-11-10,118904.203125,118904.203125,118904.203125,118013.0,118013.0,0
2025-11-12,118534.703125,118534.703125,119128.5,118534.703125,118794.1015625,0
2025-11-13,118022.6015625,118022.6015625,118645.796875,117329.203125,118644.703125,0
2025-11-14,116420.3984375,116420.3984375,118022.6015625,116119.1015625,118022.6015625,0
2025-11-17,116489.8984375,116489.8984375,116489.8984375,115849.1015625,116464.6015625,0
2025-11-18,114233.796875,114233.796875,116489.8984375,113917.703125,116489.8984375,0
2025-11-19,113946.8984375,113946.8984375,114496.5,113946.8984375,114233.796875,0
2025-11-20,115361.1015625,115361.1015625,115527.8984375,113946.8984375,113946.8984375,0
2025-11-21,113530.703125,113530.703125,115367.8984375,113081.703125,115367.8984375,0
2025-11-24,114995.5,114995.5,115014.5,113530.703125,113530.703125,0
2025-11-25,115171.796875,115171.796875,115651.1015625,114762.6015625,115010.6015625,0
2025-11-26,116116.5,116116.5,116539.6015625,115179.0,115179.0,0
2025-11-27,116291.5,116291.5,116291.5,115887.1015625,116271.5,0
2025-11-28,116228.0,116228.0,116488.796875,115887.1015625,116271.5,0
2025-12-01,115575.6015625,115575.6015625,116378.203125,115548.3984375,116235.0,0
2025-12-02,115771.296875,115771.296875,116078.8984375,115575.6015625,115575.6015625,0
2025-12-03,115981.8984375,115981.8984375,116352.3984375,115727.6015625,115773.0,0
2025-12-04,116297.1015625,116297.1015625,116301.5,115598.5,115983.296875,0
2025-12-05,116514.8984375,116514.8984375,116514.8984375,115929.3984375,116297.1015625,0
2025-12-08,116378.0,116378.0,116514.8984375,115988.296875,116514.8984375,0
2025-12-09,115858.5,115858.5,116378.0,115784.0,116378.0,0
2025-12-10,115769.703125,115769.703125,116198.5,115537.3984375,115858.5,0
2025-12-11,115943.1015625,115943.1015625,116845.296875,115700.703125,115771.8984375,0
2025-12-12,117367.203125,117367.203125,117428.703125,115947.296875,115947.296875,0
2025-12-15,116527.3984375,116527.3984375,117367.203125,116361.203125,117367.203125,0
2025-12-16,116040.3984375,116040.3984375,117028.296875,115669.6015625,116527.3984375,0
2025-12-17,115854.703125,115854.703125,116040.3984375,115340.3984375,116040.3984375,0
2025-12-18,115895.703125,115895.703125,115895.703125,115419.8984375,115854.703125,0
2025-12-19,116342.703125,116342.703125,116696.203125,115895.703125,115895.703125,0
2025-12-22,117402.703125,117402.703125,117528.796875,116342.703125,116342.703125,0
2025-12-23,118695.6015625,118695.6015625,118828.296875,117402.703125,117402.703125,0
2025-12-24,118250.203125,118250.203125,118695.6015625,117977.1015625,118695.6015625,0
2025-12-29,117751.203125,117751.203125,118540.296875,117751.203125,118250.203125,0
2025-12-30,117774.6015625,117774.6015625,118244.703125,117633.6015625,117891.296875,0
2025-12-31,117737.203125,117737.203125,117978.5,117270.796875,117774.6015625,0
2026-01-02,117918.796875,117918.796875,118049.1015625,117499.203125,117737.203125,0
2026-01-05,117930.6015625,117930.6015625,118229.1015625,117805.8984375,117918.796875,0
2026-01-06,117310.796875,117310.796875,118507.296875,117213.703125,117930.6015625,0
2026-01-07,117484.0,117484.0,118007.796875,117310.796875,117310.796875,0
2026-01-08,117824.3984375,117824.3984375,118073.703125,117459.1015625,117484.0,0
2026-01-09,117785.0,117785.0,118391.0,117649.703125,117824.3984375,0
2026-01-12,118346.296875,118346.296875,118704.796875,117785.0,117785.0,0
2026-01-13,119010.296875,119010.296875,119647.796875,118346.296875,118346.296875,0
2026-01-14,119173.203125,119173.203125,119412.703125,118631.1015625,119010.296875,0
2026-01-15,119728.203125,119728.203125,119989.6015625,119173.203125,119173.203125,0
2026-01-16,120298.1015625,120298.1015625,120454.796875,119646.796875,119728.203125,0
2026-01-19,119901.6015625,119901.6015625,120298.1015625,119645.1015625,120298.1015625,0
2026-01-20,119109.203125,119109.203125,119901.6015625,119017.5,119901.6015625,0
2026-01-21,118663.5,118663.5,119109.203125,118433.6015625,119109.203125,0
2026-01-22,119553.0,119553.0,119766.8984375,118663.5,118663.5,0
2026-01-23,119706.796875,119706.796875,120046.1015625,119432.5,119553.0,0
2026-01-27,120808.296875,120808.296875,121180.296875,119706.796875,119706.796875,0
2026-01-28,120704.0,120704.0,121306.1015625,120353.296875,120808.296875,0
2026-01-29,120617.8984375,120617.8984375,120704.0,119690.6015625,120704.0,0
2026-01-30,119829.203125,119829.203125,121213.8984375,119690.6015625,120617.8984375,0
2026-02-02,118605.796875,118605.796875,119829.203125,118168.3984375,119829.203125,0
2026-02-03,119665.796875,119665.796875,120199.703125,118605.796875,118605.796875,0
2026-02-04,120622.0,120622.0,120833.1015625,119334.703125,119665.796875,0
2026-02-05,120100.3984375,120100.3984375,120622.0,119872.0,120622.0,0
2026-02-06,117663.203125,117663.203125,120100.3984375,117323.6015625,120100.3984375,0
2026-02-09,120404.8984375,120404.8984375,120591.3984375,119842.0,119842.0,0
2026-02-10,119805.0,119805.0,120591.3984375,119805.0,119842.0,0
2026-02-11,121798.8984375,121798.8984375,121798.8984375,119807.203125,119807.203125,0
2026-02-12,122208.203125,122208.203125,123038.0,121819.6015625,121819.6015625,0
2026-02-13,120506.3984375,120506.3984375,122208.203125,120422.3984375,122208.203125,0
2026-02-16,120769.703125,120769.703125,120985.1015625,120471.5,120506.3984375,0
2026-02-17,121090.0,121090.0,121593.3984375,120795.6015625,120795.6015625,0
2026-02-18,121916.8984375,121916.8984375,121945.3984375,121266.703125,121266.703125,0
2026-02-19,122988.703125,122988.703125,123424.0,121916.8984375,121916.8984375,0
2026-02-20,122953.296875,122953.296875,123017.796875,122486.3984375,123017.796875,0
2026-02-23,122248.8984375,122248.8984375,123424.5,122040.1015625,122998.703125,0
2026-02-24,122273.5,122273.5,122711.796875,121797.296875,122323.8984375,0
2026-02-25,123771.703125,123771.703125,123798.3984375,122335.5,122335.5,0
2026-02-26,124432.6015625,124432.6015625,124807.0,123795.1015625,123795.1015625,0
2026-02-27,124757.703125,124757.703125,124758.296875,124212.1015625,124441.8984375,0
2026-03-02,124879.5,124879.5,124879.5,123779.0,124848.5,0
2026-03-03,123232.5,123232.5,124910.296875,123033.0,124910.296875,0
2026-03-04,120908.6015625,120908.6015625,123298.796875,120604.203125,123298.796875,0
2026-03-05,121887.8984375,121887.8984375,122213.703125,121359.296875,121359.296875,0
2026-03-06,120676.8984375,120676.8984375,121894.6015625,120140.1015625,121894.6015625,0
2026-03-09,117248.0,117248.0,120683.296875,115314.1015625,120683.296875,0
2026-03-10,118616.796875,118616.796875,119407.796875,117341.6015625,117341.6015625,0
2026-03-11,119335.5,119335.5,119554.296875,118641.296875,118641.296875,0
2026-03-12,117794.796875,117794.796875,119356.796875,117350.6015625,119356.796875,0
2026-03-13,117640.0,117640.0,118288.3984375,117211.1015625,117803.1015625,0
2026-03-16,117189.5,117189.5,117655.703125,116915.6015625,117649.796875,0
2026-03-17,117616.296875,117616.296875,117866.6015625,117101.6015625,117194.3984375,0
2026-03-18,117977.296875,117977.296875,118167.1015625,117450.3984375,117617.5,0
2026-03-19,116038.3984375,116038.3984375,117988.8984375,115867.0,117988.8984375,0
2026-03-20,115091.6015625,115091.6015625,116038.3984375,115074.703125,116038.3984375,0
