"Date","Price","Open","High","Low","Vol.","Change %"
"03/12/2020","73,673.62","73,673.62","73,673.62","73,673.62","","0.39%"
"02/12/2020","73,390.02","73,390.02","73,390.02","73,390.02","","0.03%"
"01/12/2020","73,371.45","73,371.45","73,371.45","73,371.45","","1.09%"
"30/11/2020","72,581.26","72,581.26","72,581.26","72,581.26","","-1.26%"
"27/11/2020","73,505.53","73,505.53","73,505.53","73,505.53","","-0.53%"
"26/11/2020","73,898.88","73,898.88","73,898.88","73,898.88","","-0.70%"
"25/11/2020","74,420.09","74,420.09","74,420.09","74,420.09","","0.59%"
"24/11/2020","73,982.23","73,982.23","73,982.23","73,982.23","","1.26%"
"23/11/2020","73,063.81","73,063.81","73,063.81","73,063.81","","0.35%"
"20/11/2020","72,807.80","72,807.80","72,807.80","72,807.80","","-0.12%"
"19/11/2020","72,895.69","72,895.69","72,895.69","72,895.69","","0.25%"
"18/11/2020","72,716.13","72,716.13","72,716.13","72,716.13","","0.51%"
"17/11/2020","72,349.97","72,349.97","72,349.97","72,349.97","","0.21%"
"16/11/2020","72,195.39","72,195.39","72,195.39","72,195.39","","1.27%"
"13/11/2020","71,293.02","71,293.02","71,293.02","71,293.02","","-0.20%"
"12/11/2020","71,437.73","71,437.73","71,437.73","71,437.73","","-0.43%"
"11/11/2020","71,748.09","71,748.09","71,748.09","71,748.09","","1.79%"
"10/11/2020","70,489.11","70,489.11","70,489.11","70,489.11","","0.66%"
"09/11/2020","70,025.13","70,025.13","70,025.13","70,025.13","","1.81%"
"06/11/2020","68,778.53","68,778.53","68,778.53","68,778.53","","0.83%"
"05/11/2020","68,214.38","68,214.38","68,214.38","68,214.38","","1.28%"
"04/11/2020","67,353.48","67,353.48","67,353.48","67,353.48","","-0.07%"
"03/11/2020","67,398.35","67,398.35","67,398.35","67,398.35","","1.93%"
"02/11/2020","66,119.95","66,119.95","66,119.95","66,119.95","","0.40%"
"30/10/2020","65,856.45","65,856.45","65,856.45","65,856.45","","-0.55%"
"29/10/2020","66,220.42","66,220.42","66,220.42","66,220.42","","-1.61%"
"28/10/2020","67,302.54","67,302.54","67,302.54","67,302.54","","0.11%"
"27/10/2020","67,227.89","67,227.89","67,227.89","67,227.89","","-1.70%"
"26/10/2020","68,390.10","68,390.10","68,390.10","68,390.10","","-0.19%"
"23/10/2020","68,516.97","68,516.97","68,516.97","68,516.97","","-0.11%"
"22/10/2020","68,591.48","68,591.48","68,591.48","68,591.48","","-0.29%"
"21/10/2020","68,792.02","68,792.02","68,792.02","68,792.02","","0.12%"
"20/10/2020","68,711.74","68,711.74","68,711.74","68,711.74","","-0.72%"
"19/10/2020","69,209.53","69,209.53","69,209.53","69,209.53","","0.85%"
"16/10/2020","68,625.24","68,625.24","68,625.24","68,625.24","","-0.54%"
"15/10/2020","68,997.52","68,997.52","68,997.52","68,997.52","","0.50%"
"14/10/2020","68,651.63","68,651.63","68,651.63","68,651.63","","-0.27%"
"13/10/2020","68,834.52","68,834.52","68,834.52","68,834.52","","1.04%"
"12/10/2020","68,125.91","68,125.91","68,125.91","68,125.91","","0.49%"
"09/10/2020","67,794.87","67,794.87","67,794.87","67,794.87","","0.01%"
"08/10/2020","67,788.52","67,788.52","67,788.52","67,788.52","","1.09%"
"07/10/2020","67,057.93","67,057.93","67,057.93","67,057.93","","1.25%"
"06/10/2020","66,232.41","66,232.41","66,232.41","66,232.41","","0.34%"
"05/10/2020","66,004.80","66,004.80","66,004.80","66,004.80","","2.59%"
"02/10/2020","64,337.56","64,337.56","64,337.56","64,337.56","","-1.39%"
"01/10/2020","65,241.20","65,241.20","65,241.20","65,241.20","","0.98%"
"30/09/2020","64,608.07","64,608.07","64,608.07","64,608.07","","-2.29%"
"29/09/2020","66,120.13","66,120.13","66,120.13","66,120.13","","0.00%"
"28/09/2020","66,119.63","66,119.63","66,119.63","66,119.63","","-0.21%"
"25/09/2020","66,258.98","66,258.98","66,258.98","66,258.98","","1.52%"
"24/09/2020","65,264.84","65,264.84","65,264.84","65,264.84","","-0.81%"
"23/09/2020","65,797.78","65,797.78","65,797.78","65,797.78","","2.42%"
"22/09/2020","64,244.33","64,244.33","64,244.33","64,244.33","","-0.66%"
"21/09/2020","64,670.13","64,670.13","64,670.13","64,670.13","","-0.71%"
"18/09/2020","65,134.57","65,134.57","65,134.57","65,134.57","","-0.32%"
"17/09/2020","65,340.64","65,340.64","65,340.64","65,340.64","","-1.22%"
"16/09/2020","66,146.74","66,146.74","66,146.74","66,146.74","","1.04%"
"15/09/2020","65,465.29","65,465.29","65,465.29","65,465.29","","-0.08%"
