Date,Market_Level
2014-03-03,45367.83
2014-03-04,45506.59
2014-03-05,45925.21
2014-03-06,45928.38
2014-03-07,46084.37
2014-03-10,45655.87
2014-03-11,45675.44
2014-03-12,45427.92
2014-03-13,45668.33
2014-03-14,44967.79
2014-03-17,44904.7
2014-03-18,45132.68
2014-03-19,45225.86
2014-03-20,44705.92
2014-03-21,45078.17
2014-03-24,45159.07
2014-03-25,45075.0
2014-03-26,45414.0
2014-03-27,45189.4
2014-03-28,45331.98
2014-03-31,45567.84
2014-04-01,45520.9
2014-04-02,45640.27
2014-04-03,45698.29
2014-04-04,45809.42
2014-04-07,45733.86
2014-04-08,45707.71
2014-04-09,46157.14
2014-04-10,46301.16
2014-04-11,45861.0
2014-04-14,45272.18
2014-04-15,45518.94
2014-04-16,45790.61
2014-04-17,46077.11
2014-04-22,46288.95
2014-04-23,46613.86
2014-04-24,46729.59
2014-04-28,46772.42
2014-04-29,46354.24
2014-04-30,46375.34
2014-05-01,46034.77
2014-05-02,46113.29
2014-05-05,46148.48
2014-05-06,46310.3
2014-05-07,45927.53
2014-05-08,46273.96
2014-05-09,46217.41
2014-05-12,46112.47
2014-05-13,46533.54
2014-05-14,46712.96
2014-05-15,46834.86
2014-05-16,46565.33
2014-05-19,45969.83
2014-05-20,46068.49
2014-05-21,46104.31
2014-05-22,46574.87
2014-05-23,46684.13
2014-05-26,46856.58
2014-05-27,46846.98
2014-05-28,46979.88
2014-05-29,46919.43
2014-05-30,46690.53
2014-06-02,46912.27
2014-06-03,46583.49
2014-06-04,46287.39
2014-06-05,46219.84
2014-06-06,46450.63
2014-06-10,46503.64
2014-06-11,46373.41
2014-06-12,46159.18
2014-06-13,45957.27
2014-06-16,46019.04
2014-06-17,45920.02
2014-06-18,45767.4
2014-06-19,46494.23
2014-06-20,46079.91
2014-06-23,46367.56
2014-06-24,46193.05
2014-06-25,45959.71
2014-06-26,46573.03
2014-06-27,46411.52
2014-06-30,45991.23
2014-07-01,45822.07
2014-07-02,46500.64
2014-07-03,46806.17
2014-07-04,47094.57
2014-07-07,47042.82
2014-07-08,46974.95
2014-07-09,46476.66
2014-07-10,46578.63
2014-07-11,46769.1
2014-07-14,46978.86
2014-07-15,46977.99
2014-07-16,47043.55
2014-07-17,47073.99
2014-07-18,47152.7
2014-07-21,47223.24
2014-07-22,47251.83
2014-07-23,47536.97
2014-07-24,47631.2
2014-07-25,47594.59
2014-07-28,47542.44
2014-07-29,47636.63
2014-07-30,47930.29
2014-07-31,48015.77
2014-08-01,47363.68
2014-08-04,47231.57
2014-08-05,47041.36
2014-08-06,46985.38
2014-08-07,46959.91
2014-08-08,46331.71
2014-08-11,46516.88
2014-08-12,47143.73
2014-08-13,47026.2
2014-08-14,47314.43
2014-08-15,47470.18
2014-08-18,47647.34
2014-08-19,48090.45
2014-08-20,48202.77
2014-08-21,48239.2
2014-08-22,48299.9
2014-08-25,48208.11
2014-08-26,48244.74
2014-08-27,48471.98
2014-08-28,48250.97
2014-08-29,48315.27
2014-09-01,48373.75
2014-09-02,48644.41
2014-09-03,48729.01
2014-09-04,48515.23
2014-09-05,48241.26
2014-09-08,48090.68
2014-09-09,48361.29
2014-09-10,48118.88
2014-09-11,47877.98
2014-09-12,47749.05
2014-09-15,47253.93
2014-09-16,47013.21
2014-09-17,46688.72
2014-09-18,46762.75
2014-09-19,46911.54
2014-09-22,46309.71
2014-09-23,46765.3
2014-09-24,46425.58
2014-09-25,46482.56
2014-09-26,45891.5
2014-09-29,45469.35
2014-09-30,45716.65
2014-10-01,46073.54
2014-10-02,45759.48
2014-10-03,45936.88
2014-10-06,45718.34
2014-10-07,45644.64
2014-10-08,45274.13
2014-10-09,45752.81
2014-10-10,44816.69
2014-10-13,44533.79
2014-10-14,44982.33
2014-10-15,45312.48
2014-10-16,45392.64
2014-10-17,45538.01
2014-10-20,45950.21
2014-10-21,45998.51
2014-10-22,46524.03
2014-10-23,46500.42
2014-10-24,46751.91
2014-10-27,47155.36
2014-10-28,47100.46
2014-10-29,47057.97
2014-10-30,47305.95
2014-10-31,47741.32
2014-11-03,47575.23
2014-11-04,47687.85
2014-11-05,47670.17
2014-11-06,47569.05
2014-11-07,48112.85
2014-11-10,47994.23
2014-11-11,47934.66
2014-11-12,47479.66
2014-11-13,47304.35
2014-11-14,47405.5
2014-11-17,47042.23
2014-11-18,46931.35
2014-11-19,46663.25
2014-11-20,46210.23
2014-11-21,46108.87
2014-11-24,46608.69
2014-11-25,46375.22
2014-11-26,46909.18
2014-11-27,46950.14
2014-11-28,46187.8
2014-12-01,45280.07
2014-12-02,45920.99
2014-12-03,46273.96
2014-12-04,46684.42
2014-12-05,46393.48
2014-12-08,46718.47
2014-12-09,45935.52
2014-12-10,45729.73
2014-12-11,45485.98
2014-12-12,45386.85
2014-12-15,45095.61
2014-12-16,44802.28
2014-12-17,44885.03
2014-12-18,45310.39
2014-12-19,46424.08
2014-12-22,47329.22
2014-12-23,46799.14
2014-12-24,46917.54
2014-12-29,47686.0
2014-12-30,47188.09
2014-12-31,47139.24
2015-01-02,47356.28
2015-01-05,47481.69
2015-01-06,46736.61
2015-01-07,46639.13
2015-01-08,46881.66
2015-01-09,47614.49
2015-01-12,47241.01
2015-01-13,47084.1
2015-01-14,46639.0
2015-01-15,46446.09
2015-01-16,46166.18
2015-01-19,46252.43
2015-01-20,46239.62
2015-01-21,46986.35
2015-01-22,47217.72
2015-01-23,47931.05
2015-01-27,48326.62
2015-01-28,48375.04
2015-01-29,48520.54
2015-01-30,48684.64
2015-02-02,49007.15
2015-02-03,49721.74
2015-02-04,50331.37
2015-02-05,50624.39
2015-02-06,50704.49
2015-02-09,50660.15
2015-02-10,50536.0
2015-02-11,50293.24
2015-02-12,50072.24
2015-02-13,51239.53
2015-02-16,51337.13
2015-02-17,51187.89
2015-02-18,51708.7
2015-02-19,51612.2
2015-02-20,51420.73
2015-02-23,51651.91
2015-02-24,51885.35
2015-02-25,52160.57
2015-02-26,51847.2
2015-02-27,52038.06
2015-03-02,52329.18
2015-03-03,52130.59
2015-03-04,51888.93
2015-03-05,51920.4
2015-03-06,51887.15
2015-03-09,51205.35
2015-03-10,51234.41
2015-03-11,51066.42
2015-03-12,51569.92
2015-03-13,51258.86
2015-03-16,51128.0
2015-03-17,51520.11
2015-03-18,51555.54
2015-03-19,52512.7
2015-03-20,52731.27
2015-03-23,52561.88
2015-03-24,52677.07
2015-03-25,52720.68
2015-03-26,51890.2
2015-03-27,52255.66
2015-03-30,51604.41
2015-03-31,52006.71
2015-04-01,51737.23
2015-04-02,52071.18
2015-04-07,52313.39
2015-04-08,52622.42
2015-04-09,52370.69
2015-04-10,52690.39
2015-04-13,52618.92
2015-04-14,52497.8
2015-04-15,52161.14
2015-04-16,52510.55
2015-04-17,51896.02
2015-04-20,51500.9
2015-04-21,51847.23
2015-04-22,51539.54
2015-04-23,51604.47
2015-04-24,52386.02
2015-04-27,52822.21
2015-04-28,52520.69
2015-04-29,51549.83
2015-04-30,51120.74
2015-05-01,51336.31
2015-05-04,51452.31
2015-05-05,51443.32
2015-05-06,50260.14
2015-05-07,49849.83
2015-05-08,49834.5
2015-05-11,49752.07
2015-05-12,50189.87
2015-05-13,50648.37
2015-05-14,50483.71
2015-05-15,50919.38
2015-05-18,50264.96
2015-05-19,49880.61
2015-05-20,49834.46
2015-05-21,50296.09
2015-05-22,50318.05
2015-05-25,50821.99
2015-05-26,51283.06
2015-05-27,50857.0
2015-05-28,50754.08
2015-05-29,51324.94
2015-06-01,50954.11
2015-06-02,50073.2
2015-06-03,49607.54
2015-06-04,48903.18
2015-06-05,48851.27
2015-06-09,48619.34
2015-06-10,48684.66
2015-06-11,49377.96
2015-06-12,49276.69
2015-06-15,49219.05
2015-06-16,49192.62
2015-06-17,49722.77
2015-06-18,49095.95
2015-06-19,49736.67
2015-06-22,49853.74
2015-06-23,50512.36
2015-06-24,50535.18
2015-06-25,50054.83
2015-06-26,49375.75
2015-06-29,48277.09
2015-06-30,48602.26
2015-07-01,49107.14
2015-07-02,49856.37
2015-07-03,49308.59
2015-07-06,48745.88
2015-07-07,49693.41
2015-07-08,48697.19
2015-07-09,48710.07
2015-07-10,48897.61
2015-07-13,48729.62
2015-07-14,49657.64
2015-07-15,50181.36
2015-07-16,50478.57
2015-07-17,50483.03
2015-07-20,50632.45
2015-07-21,50808.96
2015-07-22,49988.54
2015-07-23,49772.34
2015-07-24,49557.05
2015-07-27,49768.78
2015-07-28,49722.47
